./text_en/AdviceText.utf.txt,,達成率,5.881%
ADV_TITLE_IN_001,Greetings,ご挨拶,ご挨拶
ADV_TEXT_IN_001,"Welcome to Oriental Empires. I will be your advisor, pointing out important features of the game, and bringing urgent matters to your attention. 
Note the help button in the top right of the screen. This will explain the function of whichever game area you are currently in.","東洋帝国へようこそ。私はゲームの重要な特徴を指摘し、あなたの注意に緊急事項をもたらし、あなたの顧問となります。
画面の右上にあるヘルプボタンを注意してください。これは、あなたが現在どのゲームエリアの機能を説明します。","Oriental Empireにようこそ．
私がアドバイザーとなり，このゲームで重要となる事項や緊急の報告を行います．
画面右上にあるヘルプボタンを押してください．これは現在あなたがいるゲームエリアの機能を説明します．"
ADV_TITLE_IN_002,In Game Help,ゲームのヘルプで,ゲーム中ヘルプ
ADV_TEXT_IN_002,Press F1 or use the info button in the top right corner to access help. The button in the top left of the help screen will access the contents of the in game manual.,F1キーを押すか、ヘルプにアクセスするには、右上の隅に情報ボタンを使用します。ヘルプ画面の左上にあるボタンは、中のゲームマニュアルの内容にアクセスします。,"ヘルプにアクセスするには，F1キーを押すか画面右上にあるヘルプボタンを押します．
ヘルプ画面の左上にあるボタンでゲームマニュアルにアクセスします．"
ADV_TITLE_ST_001,How to Move,移動する方法,移動方法
ADV_TEXT_ST_001,You have selected a unit. Order it to move somewhere by right clicking the target location.,あなたは、ユニットを選択しました。右のターゲットの場所をクリックしてどこかに移動するには、それを注文。,ユニットを選択しました．移動の命令を出すにはターゲットとなる場所を右クリックします．
ADV_TITLE_ST_002,How to Move,移動する方法,移動方法
ADV_TEXT_ST_002,You have selected a unit. Order it to move somewhere by pressing and holding until the movement path is displayed.,あなたは、ユニットを選択しました。移動経路が表示されるまで押し続けてどこかに移動するには、それを注文。,ユニットを選択しました．移動させるには，移動経路が表示されるまで右クリックし続けます．
ADV_TITLE_ST_003,Move Ordered,移動順序,移動が命じられました
ADV_TEXT_ST_003,"You have given this unit a move order. It will not actually move until the end of the turn. When you have given all the orders you wish, end your turn by pressing the button in the bottom right.",あなたは、このユニットの移動順与えています。これは、実際にはターン終了時まで移動しません。あなたが望むすべての注文を与えている場合は、右下のボタンを押すことによって、あなたのターンを終了。,このユニットに移動を命じました．ユニットはターンを終了するまで移動しません．必要な命令をすべて与え終わったら，画面右下のボタンをクリックしてターンを終了します．
ADV_TITLE_ST_004,Move Ordered,移動順序,移動が命じられました
ADV_TEXT_ST_004,"When there are more than one unit in a hex, they will all move together. A number of units in one hex is called a ""stack"".",進に複数のユニットが存在する場合、それらはすべて一緒に移動します。 1つのヘクス内のユニットの数は、「スタック」と呼ばれています。,ヘックス内に複数のユニットが存在する場合，すべてのユニットが共に移動します．1へクスにいる複数のユニットをスタックと呼びます．
ADV_TITLE_ST_005,Move Failed,移動に失敗しました,移動に失敗しました
ADV_TEXT_ST_005,"Your units cannot move here because one or more of them cannot enter this terrain, or they have no suitable path to reach the hex.",それらの1つ以上がこの地形を入力することはできませんので、あなたのユニットは、ここでは動くことができない、または彼らはヘックスに到達するためのいかなる適したパスを持っていません。,ユニットがこの地形に侵入できないか，このヘクスに移動する経路がありません．
ADV_TITLE_ST_006,Splitting a Stack,スタックを分割,スタックを分割
ADV_TEXT_ST_006,You can split a stack of units by selecting one or more of the unit tiles at the bottom of the screen. Only the selected units will be ordered to move. You can select different units and order them to different locations.,あなたは、画面の一番下にあるユニットのタイルの1つまたは複数を選択することで、ユニットのスタックを分割することができます。のみ選択したユニットが移動するために注文することになります。あなたは別の単位を選択して別の場所にそれらを注文することができます。,画面下部にあるユニットタイルを選択し，スタックを分割することで，選択したユニットにのみ移動の命令を与えます．異なるユニットを選択することで，それぞれ異なる場所へ移動させることもできます．
ADV_TITLE_ST_007,Selecting Multiple Units,複数のユニットを選択します,複数ユニットの選択
ADV_TEXT_ST_007,"Select more than one unit in a stack by holding down the control key, or turning on sticky selection with the button to the right of the unit tiles.",コントロールキーを押しながら、またはユニットタイルの右にあるボタンで粘着性の選択をオンにして、スタック内の複数のユニットを選択します。,スタックの複数のユニットを選択するには，コントロールキーを押すか，ユニットタイルの右側にある固定選択ボタンをオンにします．
ADV_TITLE_ST_008,Selecting Multiple Units,複数のユニットを選択します,複数ユニットの選択
ADV_TEXT_ST_008,Select more than one unit in a stack by turning on sticky selection with the button to the right of the unit tiles.,ユニットタイルの右にあるボタンで粘着性の選択をオンにして、スタック内の複数のユニットを選択します。,スタックの複数のユニットを選択するには，ユニットタイルの右側にある固定選択ボタンをオンにします．
ADV_TITLE_ST_009,Set Facing,直面して設定します,方向の設定
ADV_TEXT_ST_009,"You can change the direction the stack will face after its movement, by using the change facing button underneath the unit tiles.",あなたは、スタックは、ユニットタイルの下にボタンが直面している変化を利用して、その動きの後に直面するであろう方向を変更することができます。,スタックが移動後にどの方向を向くか指定するには，ユニットタイルの下にある方向変更ボタンを使用します．
ADV_TITLE_ST_010,Set Facing,直面して設定します,方向の設定
ADV_TEXT_ST_010,Change the direction this stack is facing by using the change facing button underneath the unit tiles.,このスタックは、ユニットタイルの下のボタンを向い変化を利用して向いている方向を変えます。,スタックがどの方向を向くか指定するには，ユニットタイルの下にある方向変更ボタンを使用します．
ADV_TITLE_ST_011,Garrison Selected,ギャリソン選択,駐屯部隊の選択
ADV_TEXT_ST_011,Clicking the flag selects the settlement's garrison. Click the name tab to open the management screen for the settlement.,フラグをクリックすると、決済の駐屯地を選択します。決済のための管理画面を開くには、名前のタブをクリックします。,入植地の旗をクリックすると駐屯部隊を選択します．入植地の管理画面を開くには入植地の名前タブをクリックします．
ADV_TITLE_ST_012,Garrison Selected,ギャリソン選択,駐屯部隊の選択
